측정위치,거리,freq_1 (Hz),dBA_1,freq_2 (Hz),dBA_2,freq_3 (Hz),dBA_3,파일명
bottom,10,500,71.61582979,800,71.2439861,2000,75.47397019,BONGO3_Bottom_1_10cm.csv
bottom,15,500,69.37967872,1600,68.27849604,2000,76.08698894,BONGO3_Bottom_1_15cm.csv
bottom,10,500,70.86711075,800,73.07211715,2000,74.69348197,BONGO3_Bottom_2_10cm.csv
bottom,15,500,69.84151116,1600,68.19770971,2000,76.07438877,BONGO3_Bottom_2_15cm.csv
bottom,10,500,71.33363478,800,71.37737832,2000,74.38499008,BONGO3_Bottom_3_10cm.csv
bottom,15,500,68.94085958,1600,68.20203985,2000,76.21365254,BONGO3_Bottom_3_15cm.csv
bottom,10,500,70.96108293,800,73.21829734,2000,74.64642283,BONGO3_Bottom_4_10cm.csv
bottom,15,500,69.58995755,1600,68.68776939,2000,76.70088702,BONGO3_Bottom_4_15cm.csv
bottom,10,500,71.45547218,800,72.11630187,2000,74.61662472,BONGO3_Bottom_5_10cm.csv
bottom,15,500,69.66579309,1600,66.59861823,2000,74.94811892,BONGO3_Bottom_5_15cm.csv
bottom,10,500,71.22153191,800,72.18117937,2000,74.06340547,BONGO3_Bottom_6_10cm.csv
bottom,15,500,69.07020084,1600,67.97051775,2000,75.98117233,BONGO3_Bottom_6_15cm.csv
bottom,10,500,70.9217478,800,72.64477379,2000,74.75596707,BONGO3_Bottom_7_10cm.csv
bottom,15,500,69.90022493,1600,67.73593948,2000,75.4438258,BONGO3_Bottom_7_15cm.csv
front,10,500,70.08936734,630,61.43038994,800,62.61083569,BONGO3_Front_1_10cm.csv
front,20,500,66.1030468,800,63.59775533,2000,70.63068044,BONGO3_Front_1_20cm.csv
front,10,500,69.82393008,630,62.01129052,800,61.93976987,BONGO3_Front_2_10cm.csv
front,20,500,66.82063882,1600,61.80772895,2000,70.81417701,BONGO3_Front_2_20cm.csv
front,10,500,69.51054229,630,62.08246385,800,61.6170284,BONGO3_Front_3_10cm.csv
front,20,500,66.00249881,1600,62.17467965,2000,71.37288705,BONGO3_Front_3_20cm.csv
front,10,500,69.25152656,800,61.8792986,2000,67.26227552,BONGO3_Front_4_10cm.csv
front,20,500,65.85092579,1600,63.09978293,2000,71.72735896,BONGO3_Front_4_20cm.csv
front,10,500,69.13892756,800,62.314345,2000,66.04767598,BONGO3_Front_5_10cm.csv
front,20,500,66.40975015,800,64.32091162,2000,71.0260467,BONGO3_Front_5_20cm.csv
front,10,500,69.05786853,630,61.73947293,2000,65.72678076,BONGO3_Front_6_10cm.csv
front,20,500,66.45425864,800,63.76677082,2000,70.95368575,BONGO3_Front_6_20cm.csv
front,10,500,69.58725101,800,62.89192266,2000,66.15012675,BONGO3_Front_7_10cm.csv
front,20,500,65.88724846,800,63.38468475,2000,70.50057084,BONGO3_Front_7_20cm.csv
