측정위치,거리,freq_1 (Hz),dBA_1,freq_2 (Hz),dBA_2,freq_3 (Hz),dBA_3,파일명
bottom,10,400,56.59639026,630,61.69211394,2000,62.93619757,IONIC_Bottom_1_10cm.csv
bottom,5,500,57.69447348,630,64.83649933,1600,60.33999297,IONIC_Bottom_1_5cm.csv
bottom,10,500,56.85267634,630,62.53422157,2000,62.95799965,IONIC_Bottom_2_10cm.csv
bottom,5,500,57.91958856,630,64.62965082,1600,62.05651534,IONIC_Bottom_2_5cm.csv
bottom,10,500,77.17908104,630,77.59837626,800,77.27118389,IONIC_Bottom_3_10cm.csv
bottom,5,500,58.54602742,630,64.06782841,1600,60.43406175,IONIC_Bottom_3_5cm.csv
bottom,10,400,55.18732017,500,54.53948706,630,56.37819124,IONIC_Bottom_4_10cm.csv
bottom,5,500,57.39962973,630,64.81875628,1600,61.22517041,IONIC_Bottom_4_5cm.csv
bottom,10,400,57.21500369,500,58.03093172,630,58.79531667,IONIC_Bottom_5_10cm.csv
bottom,5,500,57.39989401,630,64.97516604,1600,60.75042055,IONIC_Bottom_5_5cm.csv
bottom,10,500,74.20804578,630,75.33584904,800,74.67633808,IONIC_Bottom_6_10cm.csv
bottom,5,500,57.21241216,630,65.0434071,1600,60.52008587,IONIC_Bottom_6_5cm.csv
bottom,10,400,63.62425551,500,64.14012299,630,66.32989505,IONIC_Bottom_7_10cm.csv
bottom,5,400,58.49333607,500,59.98665348,630,60.9746237,IONIC_Bottom_7_5cm.csv
front,10,630,60.8005017,1600,61.40381702,2000,65.11671571,IONIC_Front_1_10cm.csv
front,20,630,59.56559272,1600,61.55515423,2000,67.17272786,IONIC_Front_1_20cm.csv
front,10,630,61.58564487,1600,62.5314722,2000,66.90932119,IONIC_Front_2_10cm.csv
front,20,315,57.60741329,400,59.16370973,630,57.76427922,IONIC_Front_2_20cm.csv
front,10,400,55.44702713,630,57.35133141,2000,55.33777694,IONIC_Front_3_10cm.csv
front,20,630,57.9260178,1600,60.79748659,2000,66.70257721,IONIC_Front_3_20cm.csv
front,10,630,61.35465068,1600,62.71543093,2000,67.16930237,IONIC_Front_4_10cm.csv
front,20,630,59.01678795,1600,61.64625253,2000,66.53160983,IONIC_Front_4_20cm.csv
front,10,630,60.83819054,1600,62.77034197,2000,65.89213315,IONIC_Front_5_10cm.csv
front,20,630,59.44559794,1600,61.71321593,2000,66.42285741,IONIC_Front_5_20cm.csv
front,10,400,60.27081556,500,59.55704984,630,60.35333505,IONIC_Front_6_10cm.csv
front,20,630,59.3181711,1600,61.40168886,2000,67.11498906,IONIC_Front_6_20cm.csv
front,10,630,61.51857444,1600,62.81083054,2000,66.13735589,IONIC_Front_7_10cm.csv
front,20,400,62.73304672,630,62.42805801,2000,67.20766068,IONIC_Front_7_20cm.csv
